1,0,0
2,0,0
3,0,0
4,1,0
5,1,0
6,2,0
7,2,2
8,2,2
9,2,4
10,2,7
11,2,9
12,2,12
13,2,15
14,2,16
15,2,17
16,2,19
17,2,21
18,2,23
19,2,27
20,2,29
21,2,31
22,2,33
23,2,37
24,2,39
25,2,41
26,2,43
27,2,46
28,2,50
29,2,52
30,2,53
31,2,55
32,2,59
33,2,61
34,2,63
35,2,65
36,2,68
37,2,71
38,2,74
39,2,76
40,2,79
41,2,82
42,2,84
43,2,87
44,2,88
45,2,92
46,2,94
47,2,95
48,2,95
49,2,97
50,2,98
51,2,100
52,2,102
53,2,104
54,2,105
55,2,106
56,2,107
57,2,108
58,2,109
59,2,112
60,2,113
61,2,115
62,2,116
63,2,117
64,2,118
